Afghanistan,198,110,52,142,85,22,81,36,40,16,19,53,47,37
Angola,1,2,2,5,3,0,0,3,0,0,0,0,0,0
Azerbaijan,0,6,3,8,0,0,0,3,0,0,0,0,0,0
Belarus,2,3,5,0,0,0,0,0,0,0,0,0,0,0
Bhutan,0,0,0,0,0,0,393,1009,485,441,351,148,70,58
Bosnia and Herzegovina,76,12,12,2,0,0,0,0,0,0,0,0,0,0
Burma,10,6,53,65,113,590,820,968,611,429,331,293,318,413
Burundi,13,3,30,8,53,389,200,39,41,15,2,12,11,166
Cameroon,2,0,0,0,1,0,0,1,0,0,0,0,2,1
Central African Republic,0,0,4,0,0,2,14,0,9,17,18,40,15,1
Chad,0,0,0,0,0,4,3,6,3,0,6,2,8,3
China,0,0,0,0,0,7,1,9,0,3,0,2,0,0
Colombia,2,15,56,12,5,8,4,2,2,0,0,8,17,14
Congo,4,4,7,0,11,3,13,27,13,2,2,4,3,0
Croatia,19,8,8,0,0,0,0,0,0,0,0,0,0,0
Cuba,62,7,148,285,91,85,144,109,101,67,47,119,79,36
Dem. Rep. Congo,3,25,65,33,11,60,72,113,195,141,135,192,559,653
Egypt,0,0,0,0,0,0,1,7,0,0,0,0,0,0
Equatorial Guinea,0,1,0,8,12,0,0,0,0,0,0,0,0,2
Eritrea,0,0,1,25,7,74,18,192,151,118,137,58,86,90
Ethiopia,21,25,40,78,23,14,7,11,28,19,34,23,30,26
Gabon,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Georgia,0,0,3,0,0,0,0,0,0,0,0,0,0,0
Guinea,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Honduras,0,0,0,0,0,0,0,0,0,3,0,0,0,0
India,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Iran,41,99,53,56,65,105,69,106,107,54,80,108,51,49
Iraq,47,56,5,27,22,251,1215,1381,1043,344,880,1030,1042,401
Ivory Coast,0,0,0,1,1,1,0,6,0,0,5,2,0,1
Jordan,0,0,0,0,0,0,0,0,0,1,0,4,0,0
Kazakhstan,0,2,0,0,0,0,0,0,0,2,0,0,0,0
Kenya,0,0,1,0,0,0,0,0,0,0,0,0,0,0
North Korea,0,0,0,0,0,0,7,2,1,0,4,1,0,0
Kuwait,0,0,0,0,0,0,1,0,9,0,0,0,0,0
Lebanon,0,1,0,0,0,0,0,0,0,1,0,0,0,0
Liberia,12,152,474,180,97,60,29,27,4,2,0,1,2,0
Moldova,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Nepal,0,0,0,0,0,0,0,0,0,0,6,3,0,0
Nigeria,2,9,9,0,0,1,7,0,0,0,0,0,0,0
Pakistan,0,0,0,0,0,0,0,0,0,10,0,10,3,1
Palestine,0,0,0,0,0,0,0,12,45,12,9,10,1,9
Republic of South Sudan,0,0,0,0,0,0,0,0,0,0,0,1,9,3
Russia,14,6,6,389,221,23,5,1,0,0,0,0,2,0
Rwanda,2,1,5,8,0,12,6,19,22,2,19,9,2,12
Senegal,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Serbia,233,133,4,2,0,0,0,0,0,0,0,0,0,0
Sierra Leone,3,12,32,9,5,9,0,1,0,1,0,0,0,0
Somalia,3,157,778,412,326,253,205,366,213,228,399,522,752,496
South Africa,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Sri Lanka (Ceylon),0,0,0,0,0,0,0,0,3,4,2,0,0,0
Sudan,85,150,213,151,183,19,29,32,14,25,138,95,46,111
Syria,1,0,0,0,0,0,4,0,0,0,0,0,15,167
Tajikistan,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Togo,1,9,1,5,6,4,20,0,1,2,2,0,0,0
Turkey,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Turkmenistan,0,0,0,0,2,0,0,0,1,0,0,2,0,0
Uganda,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Ukraine,26,10,0,3,0,1,4,0,0,0,0,0,0,0
Uzbekistan,2,0,0,13,57,0,3,12,13,0,58,4,7,0
Vietnam,48,43,12,60,39,22,16,43,0,0,0,0,0,0
Yemen,0,0,5,0,0,5,0,0,0,0,0,0,0,0
Zambia,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Zimbabwe,0,0,0,0,0,0,1,0,0,0,0,0,0,0
